xcenter,ycenter,x1,y1,x2,y2,x3,y3,x4,y4
519.0,715.0,563,760,580,672,476,669,457,751
633.5,713.0,675,754,689,670,593,671,577,755
743.0,712.0,791,753,797,669,699,670,688,754
853.0,711.5,901,750,903,669,808,670,802,753
963.0,711.0,1013,752,1011,668,915,669,913,753
1073.5,710.0,1124,751,1117,667,1022,669,1025,752
1183.0,709.5,1237,751,1225,666,1128,668,1135,752
1293.0,709.0,1349,748,1333,665,1236,667,1248,752
538.5,620.5,582,659,594,582,498,581,483,653
647.5,620.5,691,658,699,580,607,582,595,660
753.0,620.0,799,658,804,580,711,581,701,659
858.5,620.0,905,657,906,580,814,583,810,659
963.5,619.5,1011,657,1009,580,918,581,916,658
1069.5,618.5,1118,656,1111,579,1020,581,1023,657
1174.0,617.5,1225,655,1215,578,1122,579,1128,656
1280.5,617.0,1334,651,1320,577,1226,579,1236,656
555.5,534.5,598,569,609,499,515,499,501,563
660.5,534.5,701,570,710,499,623,499,610,569
762.5,534.5,806,569,810,498,721,499,714,570
863.5,534.0,907,568,908,498,822,499,818,569
964.5,534.0,1010,568,1008,498,920,499,919,569
1065.5,534.0,1111,567,1106,498,1019,499,1021,569
1166.5,532.5,1215,567,1206,496,1117,498,1122,568
1267.0,532.5,1317,563,1305,496,1216,497,1226,568
573.0,455.5,613,486,623,423,534,423,523,481
672.0,455.5,712,487,718,422,635,424,625,488
770.0,455.5,812,487,815,422,731,423,724,488
868.0,455.5,910,486,911,422,827,423,824,488
965.0,455.0,1008,486,1006,422,921,424,922,487
1062.0,455.0,1106,486,1100,422,1017,423,1020,487
1159.0,454.0,1205,485,1196,421,1112,423,1117,486
1256.0,454.0,1304,482,1293,421,1207,422,1216,486
587.0,383.5,626,412,635,354,548,354,538,405
683.0,384.0,721,412,727,354,647,355,638,413
777.0,383.5,817,412,820,353,739,354,733,413
871.5,383.0,913,410,913,353,832,354,829,412
965.0,383.0,1007,411,1005,353,924,354,923,412
1059.0,383.0,1101,411,1096,353,1016,354,1018,412
1152.0,382.0,1196,410,1188,352,1107,354,1112,411
1245.0,382.0,1290,407,1280,352,1199,353,1207,411
601.5,315.5,638,341,646,289,564,290,556,335
693.5,316.0,730,340,735,289,659,290,651,342
784.0,317.5,822,343,825,290,747,291,742,342
875.5,317.5,915,343,916,290,836,291,834,344
965.5,317.0,1006,342,1004,290,926,291,925,343
1056.0,316.5,1096,342,1091,289,1015,290,1017,343
1145.0,316.0,1187,342,1180,288,1102,290,1107,343
1235.5,316.0,1279,337,1270,288,1191,289,1199,343
614.0,254.0,649,279,657,229,578,229,570,269
703.5,255.0,739,277,744,229,669,230,662,280
791.0,255.0,828,279,831,229,755,230,750,279
878.0,255.0,917,279,917,229,841,230,838,280
966.0,255.0,1005,278,1002,229,927,230,927,280
1053.0,254.5,1091,278,1087,229,1014,230,1016,279
1139.0,253.5,1179,277,1173,228,1098,230,1102,278
1226.5,253.5,1268,272,1259,228,1184,229,1191,278
627.5,190.5,660,219,669,160,594,161,585,207
712.0,194.0,745,219,752,168,681,170,671,219
796.5,192.0,832,219,835,163,763,164,757,219
880.5,194.0,917,220,919,168,846,168,841,219
965.5,192.0,1003,218,1001,164,928,165,929,219
1050.0,193.5,1087,218,1083,169,1012,168,1013,219
1133.5,192.0,1172,217,1165,165,1094,166,1098,218
1218.5,194.0,1259,212,1251,169,1177,170,1183,218
