xcenter,ycenter,x1,y1,x2,y2,x3,y3,x4,y4
677.5,583.0,721,621,733,543,635,543,622,618
785.5,583.5,828,622,837,545,744,544,733,621
890.0,586.0,937,625,941,547,847,546,838,623
997.5,589.0,1046,628,1046,550,952,549,948,625
1106.0,592.0,1155,630,1152,552,1058,551,1057,631
1213.0,594.0,1263,633,1257,555,1162,554,1166,630
1321.0,598.0,1374,639,1363,557,1267,556,1274,635
1430.5,599.0,1486,638,1472,559,1374,558,1387,639
694.5,497.5,735,533,746,461,656,461,642,530
797.5,499.0,839,535,847,463,757,462,747,534
899.0,501.0,943,537,947,465,857,464,850,536
1001.0,503.0,1047,539,1048,467,957,466,953,538
1105.5,505.0,1152,541,1150,468,1059,468,1059,540
1209.0,507.0,1257,543,1251,470,1160,470,1164,542
1312.0,508.5,1362,545,1352,472,1261,471,1267,544
1418.5,511.0,1472,547,1459,474,1364,473,1374,547
708.5,417.5,749,450,758,384,671,384,658,448
808.0,419.5,847,452,854,387,770,386,761,451
906.25,421.25,959,455,963,390,854,387,847,452
1004.5,423.0,1049,455,1049,390,963,390,959,455
1105.0,424.5,1150,457,1147,392,1060,391,1060,457
1205.0,427.0,1251,459,1244,394,1158,394,1161,458
1303.5,429.0,1351,462,1342,396,1255,395,1261,461
1405.5,430.5,1456,463,1443,397,1354,397,1364,463
723.0,345.5,761,375,769,316,687,315,676,373
818.5,347.5,856,377,863,317,781,317,773,376
913.5,348.5,954,378,957,319,874,318,869,378
1007.5,350.5,1050,380,1050,320,967,320,964,379
1105.0,351.5,1148,381,1145,322,1061,322,1062,380
1200.0,353.0,1244,383,1239,322,1155,322,1158,382
1296.5,355.0,1342,385,1333,324,1250,324,1255,384
1395.0,356.0,1443,386,1431,325,1346,325,1354,386
736.0,277.5,773,305,781,250,700,250,690,303
828.0,279.0,865,306,871,251,792,251,784,306
920.0,280.5,959,307,962,252,882,252,877,308
1011.0,282.0,1051,309,1051,254,972,254,970,308
1104.0,282.5,1145,310,1142,254,1063,255,1063,310
1196.5,284.0,1239,312,1234,256,1153,255,1156,311
1289.0,285.0,1333,313,1325,257,1244,257,1250,313
1383.5,286.5,1429,314,1419,258,1337,258,1345,314
748.5,213.0,784,238,791,187,714,188,705,237
837.0,214.0,873,239,878,188,801,189,795,239
926.0,216.0,964,240,966,190,890,190,885,241
1013.5,217.0,1053,242,1052,191,976,191,974,242
1103.5,218.5,1143,243,1140,193,1064,193,1064,244
1193.0,219.5,1234,245,1230,193,1151,193,1153,245
1283.0,221.0,1325,246,1317,195,1240,195,1244,246
1374.0,222.0,1419,247,1409,195,1328,195,1336,247
759.0,153.5,794,176,800,129,726,129,717,176
845.5,155.0,881,178,885,131,811,132,805,178
931.0,156.5,968,180,970,132,896,132,892,180
1016.0,156.5,1054,179,1053,134,980,134,978,179
1103.0,158.0,1141,181,1138,134,1065,135,1065,181
1189.5,159.5,1229,182,1224,136,1149,136,1152,182
1277.0,160.5,1317,184,1310,136,1236,136,1240,184
1364.0,161.0,1406,184,1397,138,1321,137,1328,185
770.0,95.0,803,119,809,70,739,70,730,117
853.5,98.0,888,121,892,73,819,75,814,120
936.0,97.0,972,121,973,71,903,71,898,122
1018.5,100.5,1055,124,1054,75,984,76,982,123
1102.5,98.5,1139,123,1136,73,1066,73,1066,123
1186.5,101.5,1225,125,1221,77,1147,77,1150,125
1271.5,102.5,1310,125,1303,79,1232,80,1236,125
1356.0,103.5,1397,126,1389,81,1314,80,1321,126
